step,name,x,y,z
9450,Merkez,-0.342624,0.281872,0
9450,Gezegen1,-10.443,-0.00374848,0
9450,Gezegen2,6.45633,-17.4717,0
9500,Merkez,-0.346095,0.282209,0
9500,Gezegen1,-10.423,-0.497583,0
9500,Gezegen2,6.79669,-17.3403,0
9550,Merkez,-0.349579,0.282512,0
9550,Gezegen1,-10.3787,-0.989544,0
9550,Gezegen2,7.13446,-17.2025,0
9600,Merkez,-0.353072,0.28278,0
9600,Gezegen1,-10.3101,-1.47844,0
9600,Gezegen2,7.4695,-17.0583,0
9650,Merkez,-0.356576,0.283012,0
9650,Gezegen1,-10.2174,-1.9631,0
9650,Gezegen2,7.8017,-16.9079,0
9700,Merkez,-0.360089,0.283208,0
9700,Gezegen1,-10.1008,-2.44234,0
9700,Gezegen2,8.13094,-16.7512,0
9750,Merkez,-0.36361,0.283366,0
9750,Gezegen1,-9.96072,-2.91502,0
9750,Gezegen2,8.45709,-16.5883,0
9800,Merkez,-0.367138,0.283486,0
9800,Gezegen1,-9.79743,-3.37998,0
9800,Gezegen2,8.78005,-16.4193,0
9850,Merkez,-0.370672,0.283567,0
9850,Gezegen1,-9.61136,-3.83612,0
9850,Gezegen2,9.09969,-16.2442,0
9900,Merkez,-0.374212,0.283608,0
9900,Gezegen1,-9.40297,-4.28233,0
9900,Gezegen2,9.4159,-16.0632,0
9950,Merkez,-0.377755,0.283609,0
9950,Gezegen1,-9.17276,-4.71753,0
9950,Gezegen2,9.72857,-15.8763,0
10000,Merkez,-0.381302,0.283568,0
10000,Gezegen1,-8.9213,-5.14068,0
10000,Gezegen2,10.0376,-15.6835,0
10050,Merkez,-0.38485,0.283486,0
10050,Gezegen1,-8.64921,-5.55074,0
10050,Gezegen2,10.3428,-15.485,0
10100,Merkez,-0.388399,0.283361,0
10100,Gezegen1,-8.35714,-5.94674,0
10100,Gezegen2,10.6442,-15.2808,0
10150,Merkez,-0.391947,0.283192,0
10150,Gezegen1,-8.0458,-6.32769,0
10150,Gezegen2,10.9416,-15.0709,0
10200,Merkez,-0.395494,0.282981,0
10200,Gezegen1,-7.71594,-6.69269,0
10200,Gezegen2,11.2349,-14.8556,0
10250,Merkez,-0.399037,0.282725,0
10250,Gezegen1,-7.36835,-7.04083,0
10250,Gezegen2,11.5241,-14.6348,0
10300,Merkez,-0.402576,0.282424,0
